Ngày,Số lượt cài đặt mới,Bản cập nhật,Ghi chú
"20 thg 4, 2022",2,115,
"21 thg 4, 2022",6,128,
"22 thg 4, 2022",0,49,
"23 thg 4, 2022",0,42,
"24 thg 4, 2022",1,17,
"25 thg 4, 2022",3,10,
"26 thg 4, 2022",4,5,
"27 thg 4, 2022",3,6,
"28 thg 4, 2022",1,10,
"29 thg 4, 2022",0,4,
"30 thg 4, 2022",1,10,
"1 thg 5, 2022",0,5,
"2 thg 5, 2022",2,4,
"3 thg 5, 2022",0,7,
"4 thg 5, 2022",4,3,
"5 thg 5, 2022",6,2,
"6 thg 5, 2022",1,0,
"7 thg 5, 2022",5,0,
"8 thg 5, 2022",0,1,
"9 thg 5, 2022",4,0,
"10 thg 5, 2022",3,0,
"11 thg 5, 2022",3,3,
"12 thg 5, 2022",3,1,
"13 thg 5, 2022",3,0,
"14 thg 5, 2022",0,1,
"15 thg 5, 2022",1,0,
"16 thg 5, 2022",2,1,
"17 thg 5, 2022",2,1,
"18 thg 5, 2022",4,4,
"19 thg 5, 2022",2,1,
"20 thg 5, 2022",1,0,
"21 thg 5, 2022",1,2,
"22 thg 5, 2022",1,1,
"23 thg 5, 2022",1,1,
"24 thg 5, 2022",0,4,
"25 thg 5, 2022",0,1,
"26 thg 5, 2022",1,1,
"27 thg 5, 2022",2,2,
"28 thg 5, 2022",1,0,
"29 thg 5, 2022",1,0,
"30 thg 5, 2022",2,0,
"31 thg 5, 2022",0,1,
"1 thg 6, 2022",1,0,
"2 thg 6, 2022",0,0,
"3 thg 6, 2022",2,1,
"4 thg 6, 2022",0,1,
"5 thg 6, 2022",1,1,
"6 thg 6, 2022",3,0,
"7 thg 6, 2022",0,0,
"8 thg 6, 2022",3,0,
"9 thg 6, 2022",3,1,
"10 thg 6, 2022",1,0,
"11 thg 6, 2022",3,0,
"12 thg 6, 2022",0,2,
"13 thg 6, 2022",2,0,
"14 thg 6, 2022",0,0,
"15 thg 6, 2022",3,0,
"16 thg 6, 2022",1,0,
"17 thg 6, 2022",1,0,
"18 thg 6, 2022",1,1,
"19 thg 6, 2022",0,0,
"20 thg 6, 2022",3,0,
"21 thg 6, 2022",0,1,
"22 thg 6, 2022",3,0,
"23 thg 6, 2022",0,0,
"24 thg 6, 2022",1,0,
"25 thg 6, 2022",0,0,
"26 thg 6, 2022",0,0,
"27 thg 6, 2022",1,0,
"28 thg 6, 2022",0,0,
"29 thg 6, 2022",1,1,
"30 thg 6, 2022",0,0,
"1 thg 7, 2022",1,0,
"2 thg 7, 2022",1,2,
"3 thg 7, 2022",1,0,
"4 thg 7, 2022",3,0,
"5 thg 7, 2022",1,0,
"6 thg 7, 2022",1,0,
"7 thg 7, 2022",3,0,
"8 thg 7, 2022",0,0,
"9 thg 7, 2022",0,0,
"10 thg 7, 2022",3,0,
"11 thg 7, 2022",0,0,
"12 thg 7, 2022",6,0,
"13 thg 7, 2022",20,1,
"14 thg 7, 2022",4,0,
"15 thg 7, 2022",3,1,
"16 thg 7, 2022",6,1,
"17 thg 7, 2022",3,0,
"18 thg 7, 2022",8,0,
"19 thg 7, 2022",1,0,
"20 thg 7, 2022",5,2,
"21 thg 7, 2022",4,0,
